offset,result,steps,price
0.35,SUCCESS,2,1006.89
0.4,TIMEOUT,51,
0.45,SUCCESS,2,1006.49
0.5,SUCCESS,1,1006.49
0.75,SUCCESS,1,1006.49
1.0,SUCCESS,10,1006.49
0.35,SUCCESS,0,1006.49
0.4,SUCCESS,1,1006.49
0.45,SUCCESS,1,1006.49
0.5,SUCCESS,0,1006.49
0.75,SUCCESS,0,1006.49
1.0,SUCCESS,0,1006.49
0.35,TIMEOUT,51,
0.4,TIMEOUT,51,
0.45,SUCCESS,0,1006.79
0.5,SUCCESS,0,1006.79
0.75,SUCCESS,0,1006.79
1.0,SUCCESS,1,1006.79
0.35,SUCCESS,4,1006.79
0.4,SUCCESS,4,1006.79
0.45,SUCCESS,7,1006.79
0.5,SUCCESS,0,1006.79
0.75,SUCCESS,1,1006.79
1.0,SUCCESS,1,1006.79
0.35,TIMEOUT,51,
0.4,SUCCESS,0,1006.89
0.45,SUCCESS,1,1006.89
0.5,SUCCESS,1,1006.89
0.75,SUCCESS,2,1006.89
1.0,TIMEOUT,51,
0.35,SUCCESS,0,1006.99
0.4,SUCCESS,1,1006.99
0.45,SUCCESS,2,1006.99
0.5,SUCCESS,4,1006.99
0.75,SUCCESS,0,1006.99
1.0,SUCCESS,1,1006.99
0.35,SUCCESS,1,1006.99
0.4,SUCCESS,0,1006.99
0.45,SUCCESS,0,1006.99
0.5,TIMEOUT,51,
0.75,SUCCESS,0,1007.09
1.0,SUCCESS,1,1007.09
0.35,SUCCESS,0,1007.09
0.4,SUCCESS,0,1007.09
0.45,SUCCESS,0,1007.09
0.5,SUCCESS,1,1007.09
0.75,SUCCESS,1,1007.09
1.0,SUCCESS,0,1007.09
0.35,SUCCESS,1,1007.09
0.4,SUCCESS,2,1007.09
0.45,SUCCESS,2,1007.09
0.5,SUCCESS,2,1007.09
0.75,SUCCESS,0,1007.09
1.0,SUCCESS,0,1007.09
0.35,SUCCESS,1,1007.09
0.4,SUCCESS,2,1006.99
0.45,TIMEOUT,51,
