offset,result,steps,price
0.05,SUCCESS,1,1001.75
0.1,SUCCESS,1,1001.79
0.12,SUCCESS,1,1001.79
0.25,SUCCESS,4,1001.79
0.0,SUCCESS,22,1001.7
0.01,SUCCESS,0,1001.71
0.05,SUCCESS,1,1001.75
0.1,SUCCESS,1,1001.79
0.12,SUCCESS,0,1001.79
0.25,TIMEOUT,51,
0.0,SUCCESS,24,1001.9
0.01,SUCCESS,1,1001.91
0.05,SUCCESS,2,1001.95
0.1,SUCCESS,4,1001.99
0.12,SUCCESS,1,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,17,1001.9
0.01,SUCCESS,3,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,3,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,14,1001.9
0.01,SUCCESS,4,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,2,1001.99
0.12,SUCCESS,2,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,12,1001.9
0.01,SUCCESS,1,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,1,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,10,1001.9
0.01,SUCCESS,0,1001.91
0.05,SUCCESS,2,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,12,1001.9
0.01,SUCCESS,5,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,1,1001.99
0.12,SUCCESS,2,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,13,1001.9
0.01,SUCCESS,1,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,3,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,25,1001.9
0.01,SUCCESS,0,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,2,1001.99
0.12,SUCCESS,5,1001.99
0.25,SUCCESS,2,1001.99
0.0,SUCCESS,10,1001.9
0.01,SUCCESS,0,1001.91
0.05,SUCCESS,1,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,11,1001.9
0.01,SUCCESS,2,1001.91
0.05,SUCCESS,3,1001.95
0.1,SUCCESS,2,1001.99
0.12,SUCCESS,4,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,17,1001.9
0.01,SUCCESS,2,1001.91
0.05,SUCCESS,1,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,15,1001.9
0.01,SUCCESS,2,1001.91
0.05,SUCCESS,3,1001.95
0.1,SUCCESS,2,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,15,1001.9
0.01,SUCCESS,6,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,11,1001.9
0.01,SUCCESS,2,1001.91
0.05,SUCCESS,1,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,1,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,14,1001.9
0.01,SUCCESS,0,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,12,1001.9
0.01,SUCCESS,2,1001.91
0.05,SUCCESS,4,1001.95
0.1,SUCCESS,2,1001.99
0.12,SUCCESS,0,1001.99
0.25,SUCCESS,0,1001.99
0.0,SUCCESS,22,1001.9
0.01,SUCCESS,0,1001.91
0.05,SUCCESS,3,1001.95
0.1,SUCCESS,0,1001.99
0.12,SUCCESS,4,1001.99
0.25,SUCCESS,3,1001.99
0.0,SUCCESS,12,1001.9
0.01,SUCCESS,2,1001.91
0.05,SUCCESS,0,1001.95
0.1,SUCCESS,1,1001.99
0.12,SUCCESS,1,1001.99
0.25,SUCCESS,1,1001.99
0.0,SUCCESS,16,1001.9
0.01,SUCCESS,0,1001.91
0.05,SUCCESS,9,1001.95
0.1,SUCCESS,0,1001.99
0.12,TIMEOUT,51,
0.25,SUCCESS,1,1002.09
0.0,SUCCESS,19,1002.0
0.01,SUCCESS,1,1002.01
0.05,SUCCESS,1,1002.05
0.1,SUCCESS,1,1002.09
0.12,SUCCESS,0,1002.09
0.25,SUCCESS,0,1002.09
0.0,SUCCESS,40,1002.0
0.01,SUCCESS,5,1002.01
0.05,SUCCESS,0,1002.05
0.1,SUCCESS,0,1002.09
0.12,SUCCESS,12,1002.09
0.25,SUCCESS,0,1002.09
0.0,SUCCESS,18,1002.0
0.01,SUCCESS,0,1002.01
0.05,SUCCESS,2,1002.05
0.1,TIMEOUT,51,
0.12,SUCCESS,3,1002.19
0.25,SUCCESS,11,1002.19
0.0,SUCCESS,12,1002.1
0.01,SUCCESS,1,1002.11
0.05,SUCCESS,0,1002.15
0.1,SUCCESS,1,1002.19
0.12,SUCCESS,0,1002.19
0.25,SUCCESS,0,1002.19
0.0,SUCCESS,15,1002.1
0.01,SUCCESS,4,1002.11
0.05,SUCCESS,3,1002.15
